State,AreaID,yearmo,LOB,MEMB_CNT,AVG_AGE,PCT_F,RiskScore,TOTAL_ALLOWED_PMPM,IP_Allowed_PMPM,OP_Allowed_PMPM,PROF_Allowed_PMPM,RX_Allowed_PMPM,Other_Allowed_PMPM,MED_ADMT_CNT,FOP_WO_ED_CNT,ED_ADMT_CNT,UC_ADMT_CNT,PCP_VIST_CNT,SPEC_VIST_CNT,ALG_TST_CNT,ALG_IMT_CNT,E_TOTPOP,AREA_SQMI,E_HU,E_HH,E_UNEMP,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ
CA,CA4,201701,ADV,8058,74.592827,0.56341524,0.665493795,$752.68 ,$214.02 ,$74.94 ,$199.86 ,$263.86 ,$0.00 ,49,2,102,32,1009,1215,4,19,13262234,4850.972611,4615697,4338482,441609,1781058,1352330,1739765,2957709,1601964,9307146,1149887,86507,469799,343744,220875
CA,CA5,201701,ADV,268,75.67164179,0.597014925,1.135776119,"$1,138.73 ",$338.19 ,$83.26 ,$416.10 ,$301.18 ,$0.00 ,2,0,6,1,64,67,0,2,848112,1842.466511,287498,271226,25853,88185,78474,123435,199599,77382,459811,31090,10988,17892,11400,12601
CA,,201701,ADV,90,78.66666667,0.633333333,1.217666667,"$1,188.43 ",$79.55 ,$286.01 ,$402.19 ,$420.68 ,$0.00 ,2,0,5,0,29,30,0,0,443738,2735.137621,156210,144962,13861,52042,46478,64775,99117,45552,244382,21169,6950,15410,8052,19863
CA,CA7,201701,ADV,2154,71.87836583,0.551532033,0.259189415,$203.29 ,$14.37 ,$5.87 ,$31.11 ,$151.94 ,$0.00 ,1,0,2,1,27,17,0,1,883053,8132.256436,295756,267913,39056,139584,77216,92005,257750,84735,576023,15490,21557,24792,18281,31126
CA,CA8,201701,ADV,91,77.69230769,0.593406593,0.942461539,$587.25 ,$0.00 ,$170.91 ,$238.43 ,$177.91 ,$0.00 ,0,0,4,3,17,22,0,0,281455,3300.636162,121095,105317,6175,17123,20715,52758,50492,9045,86881,7329,9630,3482,4557,16435
CA,CA9,201701,ADV,59,76.45762712,0.593220339,1.01379661,"$1,219.89 ",$455.60 ,$122.70 ,$408.35 ,$233.24 ,$0.00 ,1,0,0,0,22,15,0,0,433212,3281.719108,141155,126052,10475,78816,46650,55515,114125,75432,301974,14534,6567,17221,5984,17741
CA,CA1,201702,ADV,48023,73.39970431,0.57372509,0.560369032,$689.09 ,$238.81 ,$95.58 ,$181.38 ,$173.32 ,$0.00 ,449,31,419,549,10193,972,21,47,3302833,4208.762531,1204884,1118980,106962,286008,279602,439595,726344,216965,1787453,255366,42081,75015,61486,89451
CA,CA10,201702,ADV,60,79.81666667,0.65,1.101466667,$504.17 ,$0.00 ,$81.79 ,$270.38 ,$152.01 ,$0.00 ,0,0,2,0,14,15,0,0,460477,4824.376542,147791,136106,18321,81345,44779,50391,143528,61208,326860,6561,10023,13317,8274,5426
CA,CA11,201702,ADV,13,74.76923077,0.615384615,1.091538462,$516.61 ,$0.00 ,$95.08 ,$172.32 ,$249.21 ,$0.00 ,0,0,2,0,6,2,0,0,150075,1390.308446,45792,42735,4855,24270,10946,14567,40935,13829,101017,2919,1938,3483,2730,14912
CA,CA12,201702,ADV,122,76.8852459,0.581967213,1.1815,$930.94 ,$276.00 ,$119.65 ,$269.63 ,$265.66 ,$0.00 ,3,0,3,3,30,36,0,0,978130,5958.095977,328577,304624,41276,147389,92035,114438,279979,108140,686675,23756,12508,28262,25805,16750
CA,CA13,201702,ADV,129,76.92248062,0.410852713,1.12803876,$843.39 ,$248.79 ,$168.37 ,$232.46 ,$193.77 ,$0.00 ,2,0,2,0,26,30,0,1,342954,21389.49918,163854,119622,10594,41422,24903,67475,74845,21273,143965,5802,14241,5844,5879,17935
CA,CA14,201702,ADV,1695,72.9280236,0.552212389,1.00640767,"$1,021.15 ",$221.32 ,$381.49 ,$217.22 ,$201.12 ,$0.00 ,14,3,28,2,365,186,1,3,2255381,3124.860076,789873,749021,60919,189668,113096,295103,502048,188257,1461149,154299,25948,59669,38303,48904
CA,CA15,201702,ADV,40,77.075,0.55,1.364125,"$1,309.33 ",$0.00 ,$861.67 ,$257.93 ,$189.73 ,$0.00 ,0,0,1,2,8,5,0,0,269075,1935.645521,84795,79606,14912,48433,23145,29320,80062,34066,193067,3236,5216,7611,5801,5926
CA,CA16,201702,ADV,951,77.56361725,0.599369085,1.097499474,"$1,075.79 ",$289.84 ,$165.38 ,$364.06 ,$256.51 ,$0.00 ,12,1,26,6,206,231,0,4,4673221,2470.336258,1796567,1692047,128698,373438,232541,689629,936866,360315,2804353,396804,19220,110888,205390,80356
CA,CA17,201702,ADV,339,75.99115044,0.572271386,1.039619469,$704.85 ,$69.30 ,$162.07 ,$256.22 ,$217.25 ,$0.00 ,3,0,5,4,88,67,0,1,539301,1496.015066,181213,172682,26130,73664,35012,67770,146907,48530,309505,12059,7723,11489,11100,5269
CA,CA18,201702,ADV,82,76.1097561,0.609756098,1.309414634,"$1,402.95 ",$312.40 ,$459.52 ,$393.13 ,$237.90 ,$0.00 ,3,0,4,1,24,16,0,0,732212,1392.385418,241055,226727,28989,96905,53972,89461,201506,62038,494325,20238,8143,16525,14450,15994
CA,CA19,201702,ADV,332,77.11445783,0.584337349,1.086668675,"$1,050.45 ",$335.34 ,$150.21 ,$366.24 ,$198.66 ,$0.00 ,3,0,11,1,75,69,0,1,2291738,5095.099057,896341,819372,75758,168734,134416,335498,532415,114749,1083594,101802,25772,34828,51388,38576
CA,CA2,201702,ADV,29,73.93103448,0.379310345,0.771034483,$228.07 ,$0.00 ,$4.51 ,$165.94 ,$57.62 ,$0.00 ,0,0,0,0,4,2,0,0,180216,4176.578436,57468,44057,10782,33928,15883,22446,51676,34263,160443,3448,6076,4616,3242,9708
CA,CA20,201702,ADV,49,74.79591837,0.653061225,1.215020408,"$1,079.24 ",$190.75 ,$244.05 ,$312.19 ,$332.25 ,$0.00 ,1,0,2,0,10,7,0,0,438530,821.7515515,156896,149067,15346,36031,23696,64390,98813,20223,269660,13520,4468,7695,7541,10444
CA,CA21,201702,ADV,108,77.73148148,0.555555556,1.116472222,$891.35 ,$220.82 ,$80.95 ,$352.40 ,$237.17 ,$0.00 ,1,0,2,4,26,26,0,0,641847,2324.181643,263188,238371,17271,57501,43401,116457,130712,38050,249451,23427,13544,12933,11677,12597
CA,CA22,201702,ADV,15,75.73333333,0.6,0.818666667,$342.44 ,$0.00 ,$24.73 ,$237.08 ,$80.63 ,$0.00 ,0,0,1,0,6,3,0,0,171365,1234.545845,62685,58539,6792,22175,14964,23303,45990,13426,84511,4555,4913,3992,3786,2411
CA,CA23,201702,ADV,67,74.64179105,0.402985075,1.061656716,$295.93 ,$0.00 ,$135.89 ,$136.39 ,$23.66 ,$0.00 ,0,0,4,0,5,8,0,0,151906,9005.172163,84579,59685,4117,9269,9764,35175,25619,1701,28770,2723,7154,1011,2769,11716
CA,CA24,201702,ADV,221,77.95927602,0.583710407,0.991380091,$914.87 ,$228.78 ,$91.89 ,$274.85 ,$319.35 ,$0.00 ,2,0,3,1,52,48,0,2,428006,8864.022501,193696,163983,16804,39396,35478,79271,91192,17615,138500,10651,26639,6204,11021,9809
CA,CA25,201702,ADV,100,77.98,0.45,1.01876,"$1,274.90 ",$592.19 ,$214.96 ,$306.43 ,$161.33 ,$0.00 ,0,0,4,0,20,21,0,1,470990,24672.40534,218386,187277,15591,36021,38019,90963,98766,8104,114440,8163,28551,6986,13481,12724
CA,CA3,201702,ADV,7919,75.99898977,0.595529739,0.451848466,$430.60 ,$99.60 ,$51.05 ,$87.07 ,$192.88 ,$0.00 ,29,1,80,13,371,279,3,12,4518699,27266.44488,1549773,1348982,180356,553160,432652,561952,1186660,340581,3038969,129608,113905,106066,62893,91930
